parent,code,label,description,gradeFrom,gradeTo,order
P-MOT,P-MOT-PEM,"Periodic Motion","Periodic Motion",7,8,6,
P-MOT,P-MOT-OSM,"Oscillatory Motion","Oscillatory Motion",7,8,7,
P-MOT,P-MOT-RAM,"Random Motion","Random Motion",7,8,8,
P-MOT,P-MOT-DST,"Distance","Distance",7,8,9,
P-MOT,P-MOT-DSP,"Displacement","Displacement",7,8,10,
P-POW,P-POW-CAL,Power Calculation,Calculate power using work and time,7,8,1
P-POW,P-POW-UIT,Units of Power,Understand units like Watt and Horsepower,7,9,2
P-PRE,P-PRE-LIQ,Pressure in Liquids,Calculate pressure in liquids,6,7,1
P-PRE,P-PRE-GAS,Pressure in Gases,Understand and calculate gas pressure,6,8,2
P-PRE,P-PRE-SOL,Pressure in Solids,Calculate pressure on solids,7,8,3
P-PRJ,P-PRJ-PAR,Projectile Horizontal,Calculate horizontal motion of projectiles,8,10,1
P-PRJ,P-PRJ-VER,Projectile Vertical,Calculate vertical motion of projectiles,8,10,2
P-SOU,P-SOU-PRD,Sound Production,Identify sources of sound and vibration,6,7,1
P-SOU,P-SOU-PRP,Propagation of Sound,Understand how sound travels through different media,6,7,2
P-SOU,P-SOU-PIT,Pitch and Frequency,Determine pitch and frequency of sound,7,9,3
P-SOU,P-SOU-LVL,Loudness and Amplitude,Understand loudness using amplitude,7,9,4
P-THE,P-THE-HTR,Heat Transfer,"Understand conduction, convection, and radiation",6,8,1
P-THE,P-THE-TEM,Temperature Measurement,Use thermometer to measure temperature,6,8,2
P-THE,P-THE-SPE,Specific Heat,Calculate heat using specific heat formula,7,9,3
P-THE,P-THE-LAT,Latent Heat,Calculate latent heat in phase change,8,10,4
P-WAV,P-WAV-MEC,Mechanical Waves,Understand characteristics of mechanical waves,6,8,1
P-WAV,P-WAV-FRQ,Frequency and Wavelength,"Calculate frequency, wavelength and amplitude",7,9,2
P-WRK,P-WRK-CAL,Work Calculation,Calculate work done by a force,6,7,1
P-WRK,P-WRK-ANG,Work at Angle,Calculate work when force is applied at angle,7,8,2
R-CHN,R-CHN-AI,Artificial Intelligence Basics,Introduction to AI concepts and examples,8,10,1
R-CHN,R-CHN-ROB,Robotics Applications,"Study simple robots, types, and their uses",7,10,2
R-CHN,R-CHN-REN,Renewable Energy,"Solar, wind, and hydro power basics",7,10,3
R-CUL,R-CUL-FES,Festivals,Festivals from India and around the world,6,8,1
R-CUL,R-CUL-ART,Art Forms,"Painting, sculpture, music and dance forms",6,9,2
R-CUL,R-CUL-LIT,Literature,"Books, authors and literary movements",7,10,3
R-CUL,R-CUL-HER,Heritage Sites,World and Indian heritage sites,7,10,4
R-CUR,R-CUR-IND,India Current Events,Important news and developments in India,6,8,1
R-CUR,R-CUR-GLB,Global Current Events,Major global news and international developments,7,10,2
R-CUR,R-CUR-AWD,Awards & Achievements,"Recent awards in sports, science, arts, and literature",7,10,3
R-CUR,R-CUR-ELC,Elections,"Recent elections, winners, and political updates",7,10,4
R-CUR,R-CUR-TEC,Tech Updates,Latest technology trends and innovations,8,10,5
R-ENT,R-ENT-MOV,Movies & Cinema,"Famous films, directors, and actors",7,10,1
R-ENT,R-ENT-MUS,Music & Artists,Popular music genres and artists,6,10,2
R-ENT,R-ENT-MED,Media Facts,"Television, radio, and digital media knowledge",7,10,3
R-ENT,R-ENT-POP,Popular Culture,"Trends, games, shows, and social media",7,10,4
R-ENV,R-ENV-CON,Conservation Projects,"Tree plantation, water conservation, energy saving exercises",7,10,1
R-ENV,R-ENV-POL,Pollution Experiments,"Observe air, water, and soil pollution",6,9,2
R-ENV,R-ENV-SUS,Sustainability Exercises,Eco-friendly activities and awareness projects,7,10,3
R-ENV,R-ENV-CLI,Climate Awareness,Observe and learn about climate change and effects,8,10,4
R-ENX,R-ENX-POL,Pollution Experiments,Observe air and water pollution in lab or home,7,10,1
R-ENX,R-ENX-CNS,Conservation Exercises,"Planting trees, energy saving projects",7,10,2
R-EXP,R-EXP-EX1,Simple Circuits,Build basic electric circuits and observe current flow,6,8,1
R-EXP,R-EXP-EX2,Water Filtration,Learn water purification techniques and processes,6,9,2
R-EXP,R-EXP-EX3,Plant Experiments,Observe plant growth under different conditions,7,10,3
R-GEO,R-GEO-CTR,Countries & Capitals,Identify countries and their capitals globally,6,8,1
R-GEO,R-GEO-RIV,Rivers & Lakes,"Major rivers, lakes and their locations",6,9,2
R-GEO,R-GEO-MNT,Mountains & Ranges,"Identify mountains, ranges, and highest peaks",7,10,3
R-GEO,R-GEO-CLI,Climate & Zones,Climate types and geographical zones,7,10,4
R-GEO,R-GEO-RES,Resources,Natural resources distribution and uses,7,10,5
R-HIS,R-HIS-PER,Famous Personalities,"Influential historical leaders, scientists, and reformers",6,8,1
R-HIS,R-HIS-EVT,Important Events,Key historical events and timelines,6,9,2
R-HIS,R-HIS-BTL,Major Battles,Significant battles and their outcomes,7,10,3
R-HIS,R-HIS-MOV,Social Movements,Important social and reform movements,8,10,4
R-LAW,R-LAW-FND,Fundamental Laws,Basic legal rights and important laws,7,10,1
R-LAW,R-LAW-JDG,Judiciary,Structure and functions of courts,7,10,2
R-LAW,R-LAW-CIT,Citizenship Laws,Rights and responsibilities under law,6,10,3
R-LAW,R-LAW-INT,International Law,Introduction to treaties and global law,8,10,4
R-LOG,R-LOG-PAT,Patterns,"Number, figure, and sequence patterns",6,8,1
R-LOG,R-LOG-RES,Reasoning,Logical reasoning problems and exercises,6,9,2
R-LOG,R-LOG-PUZ,Puzzles,"Word, math, and visual puzzles",7,10,3
R-LOG,R-LOG-SEQ,Sequences,Identify numerical and alphabetical sequences,7,10,4
R-LOG,R-LOG-ANA,Analytical Thinking,Analyze situations and solve problems,8,10,5
R-LTR,R-LTR-FES,World Festivals,Festivals from different countries,6,10,1
R-LTR,R-LTR-LAN,World Languages,Major languages and origins around the world,7,10,2
R-LTR,R-LTR-FOD,World Cuisines,Famous dishes from various countries,7,10,3
R-MAN,R-MAN-INV,Famous Inventions,Discoveries that changed the world,6,9,1
R-MAN,R-MAN-PER,Notable Personalities,"Influential inventors, leaders, and thinkers",7,10,2
R-MAN,R-MAN-HIS,Historic Achievements,Significant achievements outside school history syllabus,7,10,3
R-MAT,R-MAT-TRK,Math Tricks,Quick calculation techniques and shortcuts,6,9,1
R-MAT,R-MAT-PUZ,Math Puzzles,Logical math problems and brain teasers,6,10,2
R-MAT,R-MAT-GAM,Math Games,Fun games involving numbers and logic,7,10,3
R-MAT,R-MAT-SEQ,Sequences & Patterns,Identify and continue number and letter patterns,7,10,4
R-MAT,R-MAT-APP,Math Applications,Apply math in real-life situations,8,10,5
R-MED,R-MED-DSC,Medical Discoveries,Important medical inventions and discoveries,7,10,1
R-MED,R-MED-VAC,Vaccines,Different vaccines and their purpose,6,9,2
R-MED,R-MED-HYG,Hygiene & Health,Importance of hygiene and healthy practices,6,10,3
R-MED,R-MED-FIR,First Aid,Basic first aid knowledge for minor injuries,7,10,4
R-MIN,R-MIN-PUZ,Logic Puzzles,Problem solving with logic and reasoning,6,10,1
R-MIN,R-MIN-RID,Riddles,Brain riddles and lateral thinking exercises,6,10,2
R-MIN,R-MIN-MEM,Memory Games,Exercises to enhance memory and concentration,7,10,3
R-PLA,R-PLA-SOL,Solar System,"Planets, moons, and the Sun",6,9,1
R-PLA,R-PLA-STR,Stars & Galaxies,"Basic knowledge of stars, constellations, galaxies",7,10,2
R-PLA,R-PLA-EXP,Space Exploration,"Missions, satellites, and astronauts",8,10,3
R-SCI,R-SCI-INN,Innovations,Famous inventions and scientific discoveries,6,8,1
R-SCI,R-SCI-FUN,Science Fundamentals,"Physics, chemistry, and biology facts and principles",6,9,2
R-SCI,R-SCI-APP,Applied Science,Everyday applications of scientific knowledge,7,10,3
R-SCI,R-SCI-ENV,Environmental Science,Eco-friendly technologies and discoveries,7,10,4
R-SPT,R-SPT-OLY,Olympics,"Olympic sports, host cities, and famous athletes",6,10,1
R-SPT,R-SPT-REC,Records,World and national sports records,7,10,2
R-SPT,R-SPT-GME,Games Rules,Rules of popular sports and games,6,9,3
R-SPT,R-SPT-ATH,Athlete Profiles,Famous athletes and their achievements,7,10,4
R-SPT,R-SPT-OLY,Olympics Trivia,"Facts about Olympic games, cities, and medals",6,10,1
R-SPT,R-SPT-REC,Sports Records,World and national sports achievements,7,10,2
R-SPT,R-SPT-ATH,Athlete Profiles,Famous athletes and their achievements,7,10,3
R-TEC,R-TEC-AI,Artificial Intelligence,Basics of AI and applications in real life,8,10,1
R-TEC,R-TEC-ROB,Robotics,"Robots in industry, service, and daily life",7,10,2
R-TEC,R-TEC-SPC,Space Technology,"Satellites, space missions, and discoveries",6,10,3
R-TEC,R-TEC-GAD,Gadgets & Tech,Famous gadgets and technological devices,7,10,4
R-TRV,R-TRV-LND,Landmarks,Famous world landmarks and monuments,6,10,1
R-TRV,R-TRV-CTR,Countries & Capitals,Lesser-known countries and capitals,6,10,2
R-TRV,R-TRV-CUL,World Cultures,Unique cultural practices worldwide,7,10,3
R-TRV,R-TRV-TOU,Tourism,Tourist attractions and travel facts,7,10,4
R-WLD,R-WLD-FAC,World Records,Unique and fun world records,6,10,1
R-WLD,R-WLD-GEO,Geography Facts,"Interesting facts about countries, oceans, rivers",6,10,2
R-WLD,R-WLD-TRV,Travel Trivia,Famous travel locations and curiosities,7,10,3
V-CIT,V-CIT-RGT,Rights of Citizens,Learn about rights granted by the constitution,6,8,1
V-CIT,V-CIT-RES,Responsibilities,Understand responsibilities of citizens,6,9,2
V-CIT,V-CIT-PAR,Participation,Ways citizens participate in governance,7,10,3
V-CNS,V-CNS-FND,Fundamental Rights,Study fundamental rights in the constitution,6,8,1
V-CNS,V-CNS-RTN,Fundamental Duties,Understand duties of citizens,6,9,2
V-CNS,V-CNS-LAW,Constitutional Laws,Learn about key constitutional provisions,7,10,3
V-DEM,V-DEM-PRN,Democracy Principles,Understand key principles of democracy,6,8,1
V-DEM,V-DEM-TYP,Types of Democracy,Identify direct and representative democracy,6,8,2
V-DEM,V-DEM-IMP,Importance,Explain importance and benefits of democracy,7,10,3
V-ELE,V-ELE-PRC,Election Process,Understand the voting process and stages,7,9,1
V-ELE,V-ELE-SYS,Election Systems,Study different electoral systems,7,10,2
V-GOV,V-GOV-CEN,Central Government,Structure and functions of central government,6,8,1
V-GOV,V-GOV-STA,State Government,Structure and functions of state government,6,9,2
V-GOV,V-GOV-LOC,Local Government,Panchayati Raj and municipal administration,7,10,3
V-PRI,V-PRI-RLE,Roles of Parties,Understand role and function of political parties,7,9,1
V-PRI,V-PRI-TYP,Types of Parties,"Identify national, regional and local parties",7,10,2
